,neighborhood,business_id,hours,is_open,address,attributes,categories,city,review_count,name,longitude,state,stars,latitude,postal_code,type
658,Sunrise,tstimHoMcYbkSC4eBA1wEg,"['Monday 11:0-21:0', 'Tuesday 10:0-21:0', 'Wednesday 10:0-21:0', 'Thursday 10:0-21:0', 'Friday 10:0-21:0', 'Saturday 10:0-21:0', 'Sunday 10:0-20:0']",1,6055 E Lake Mead Blvd,"['Alcohol: beer_and_wine', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters: False', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HasTV: True', 'NoiseLevel: quiet', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTableService: True', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'WiFi: no']","['Restaurants', 'Mexican']",Las Vegas,120,Mama Maria's Mexican Restaurant,-115.04046,NV,4.5,36.1955918,89156,business
684,,bBM6OguT_lLYSlq4NaMuzw,,1,3230 E Union Hills Phoenix,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters: False', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: quiet', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'WiFi: no']","['Pizza', 'Restaurants']",Phoenix,26,Papa Murphy's,-112.011998892,AZ,3.5,33.6555665,85050,business
691,,-jKhfsXol4FxbRjK8aUsLA,,1,"1615 W Camelback Rd, Ste 108","['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: False', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: False', 'GoodForKids: False', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: average', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: False', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WiFi: no']","['Restaurants', 'Pizza']",Phoenix,10,Little Caesars Pizza,-112.0947772,AZ,3.0,33.5081735,85015,business
701,Westside,FZDcm4f7aOvYK7aD7aBtvA,,1,238 S Rainbow Blvd,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', 'GoodForKids: False', 'HasTV: True', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: True', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: False', 'RestaurantsTakeOut: True', 'WiFi: free']","['Restaurants', 'Pizza']",Las Vegas,12,Ray's Pizzeria and Restaurant,-115.2450798,NV,2.5,36.1714276,89145,business
713,,OQcvO5P3gH0cuJ-bPXwfQQ,"['Monday 9:0-21:0', 'Tuesday 9:0-21:0', 'Wednesday 9:0-21:0', 'Thursday 9:0-21:0', 'Friday 9:0-21:0', 'Saturday 9:0-21:0', 'Sunday 9:0-17:0']",1,1920 N Decatur Blvd,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking: False', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: True', 'GoodForKids: True', 'HasTV: True', 'NoiseLevel: average', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTableService: True', 'RestaurantsTakeOut: True', 'WiFi: no', ""GoodForMeal: {'dessert': True, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': True}""]","['Restaurants', 'Mexican']",Las Vegas,40,Mi Pueblo Taco Shop,-115.205170581,NV,5.0,36.1947007117,89108,business
870,,BmyRJmbVm4jGlkXg4ncLJQ,"['Monday 11:0-22:0', 'Tuesday 11:0-22:0', 'Wednesday 11:0-22:0', 'Thursday 11:0-22:0', 'Friday 11:0-22:0', 'Saturday 9:0-22:0', 'Sunday 9:0-22:0']",0,1780 N Buffalo Dr,"['Alcohol: full_bar', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters: True', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: True', 'NoiseLevel: average', 'OutdoorSeating: True', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: False', 'RestaurantsTableService: True', 'RestaurantsTakeOut: True', 'WiFi: no']","['Mexican', 'Restaurants']",Las Vegas,38,Fiesta Chips & Salsa,-115.2593102,NV,3.0,36.1915723,89128,business
927,,NRtd6t9J4ipB_q737xvyow,,1,"St. Joesph Hospital, 350 W Thomas Rd","['BusinessAcceptsCreditCards: True', 'OutdoorSeating: True', 'WiFi: free']","['Coffee & Tea', 'Food']",Phoenix,4,Starbucks,-112.081444,AZ,3.5,33.510213,85013,business
1009,Eastside,d4qwVw4PcN-_2mK2o1Ro1g,"['Monday 11:0-22:0', 'Tuesday 11:0-22:0', 'Wednesday 11:0-22:0', 'Thursday 11:0-22:0', 'Friday 11:0-0:0', 'Saturday 11:0-0:0', 'Sunday 11:0-22:0']",1,"Hard Rock Hotel & Casino, 4455 Paradise Rd","['Alcohol: full_bar', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BYOB: False', 'BYOBCorkage: no', 'BikeParking: False', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: False', 'GoodForKids: False', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HasTV: True', 'NoiseLevel: loud', 'OutdoorSeating: True', 'RestaurantsAttire: casual', 'RestaurantsCounterService: True', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: True', 'RestaurantsTableService: True', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'WiFi: no']","['Mexican', 'Restaurants']",Las Vegas,841,Pink Taco,-115.1538714,NV,3.5,36.1100828,89169,business
1033,,dcytjy24XmYrLtjTjgyEZA,,1,6168 Broadview Rd,"['Alcohol: full_bar', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: False', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: average', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: True', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: False', 'RestaurantsTableService: True', 'RestaurantsTakeOut: True', 'WiFi: no']","['Pizza', 'Restaurants']",Cleveland,14,Rocky's Pizza,-81.6880278,OH,3.5,41.395885,44134,business
1072,Downtown,CaMwTEn92eJ1T2Zfr1xcnA,,1,433 Wood St,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: False', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: quiet', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: True', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WiFi: no']","['Pizza', 'Restaurants']",Pittsburgh,9,Mamma Lucia Pizza,-80.0010018,PA,4.0,40.4403955,15222,business
1077,Shadyside,2ERnU_ihjdwusbdlXSf3gg,"['Tuesday 11:0-20:0', 'Wednesday 11:0-20:0', 'Thursday 11:0-20:0', 'Friday 11:0-22:0', 'Saturday 11:0-22:0', 'Sunday 10:0-15:0']",0,733 Copeland St,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: average', 'OutdoorSeating: True', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True']","['Restaurants', 'Mexican']",Pittsburgh,19,Chica Loca Taco,-79.9346006,PA,3.5,40.4512206,15232,business
1112,Downtown,K-0pdH5hZQVeoUmYSNygQw,,1,2536 Fremont St,"['Alcohol: beer_and_wine', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': True, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: True', 'NoiseLevel: quiet', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTableService: True', 'RestaurantsTakeOut: True', 'WiFi: no']","['Mexican', 'Restaurants']",Las Vegas,22,El Ausente,-115.1151063,NV,5.0,36.157312,89104,business
1127,,b7BOeCJ-W4Y-kKVGziDjQw,"['Monday 6:0-17:0', 'Tuesday 6:0-17:0', 'Wednesday 6:0-17:0', 'Thursday 6:0-17:0', 'Friday 6:0-17:0']",1,741 University Row,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', 'OutdoorSeating: True', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True', 'WiFi: free', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""]","['Food', 'Coffee & Tea']",Madison,8,EVP Coffee,-89.4692796,WI,3.5,43.0768981,53705,business
1186,Southwest,7k6uHs6oPyh5AuaqrhC5yw,"['Monday 11:0-21:0', 'Tuesday 11:0-21:0', 'Wednesday 11:0-21:0', 'Thursday 11:0-21:0', 'Friday 11:0-22:0', 'Saturday 11:0-22:0', 'Sunday 11:0-21:0']",0,7835 S Rainbow Blvd,"[""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating: False', 'RestaurantsDelivery: True', 'RestaurantsReservations: False']","['Pizza', 'Restaurants']",Las Vegas,7,Emjay's New York Pizza,-115.243934,NV,3.5,36.04577,89113,business
1204,Southeast,maI7TBB32kGuRkfxxA8s6A,"['Monday 5:0-22:0', 'Tuesday 5:0-22:0', 'Wednesday 5:0-22:0', 'Thursday 5:0-22:0', 'Friday 5:0-23:0', 'Saturday 5:0-23:0', 'Sunday 5:0-22:0']",1,9777 Las Vegas Blvd S,"['Alcohol: none', 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'ByAppointmentOnly: False', 'Caters: False', 'OutdoorSeating: True', 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'WiFi: free']","['Coffee & Tea', 'Food']",Las Vegas,26,Seattle's Best Coffee,-115.174586075,NV,3.0,36.011634058,89123,business
1218,,CBKlwam3LBMcdJ8BG3Jvwg,"['Monday 6:30-16:0', 'Tuesday 6:30-16:0', 'Wednesday 6:30-16:0', 'Thursday 6:30-16:0', 'Friday 6:30-16:0']",0,1 N Central Ave,"['BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating: True', 'RestaurantsPriceRange2: 2', 'WheelchairAccessible: True', 'WiFi: free']","['Coffee & Tea', 'Food']",Phoenix,3,The Daily Grind,-112.073195,AZ,3.5,33.448654,85004,business
1252,,qCtjJp2tI-RyennIpfN6Wg,"['Monday 11:0-20:0', 'Tuesday 11:0-20:0', 'Wednesday 11:0-20:0', 'Thursday 11:0-20:0', 'Friday 11:0-21:0', 'Saturday 11:0-21:0', 'Sunday 11:0-20:0']",1,565 S College Dr,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: True', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: quiet', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: False', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WiFi: no']","['Pizza', 'Restaurants']",Henderson,20,Papa Murphy's Take 'n' Bake Pizza,-114.9642522,NV,4.0,36.0142886,89015,business
1265,,qmm3eoSgi_tCZx9h-zSOFg,,0,12678 Rockside Rd,"['Alcohol: full_bar', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 1', 'RestaurantsTableService: True', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True']","['Mexican', 'Restaurants']",Cleveland,3,Don Tequila Mexican Restaurant,-81.5956779,OH,4.0,41.4007245,44146,business
1345,South Side,G7QZWVm-ytyKHpvUq3ggFA,"['Monday 11:0-4:0', 'Tuesday 11:0-4:0', 'Wednesday 11:0-4:0', 'Thursday 11:0-4:0', 'Friday 11:0-5:0', 'Saturday 11:0-5:0']",1,1322 E Carson St,"['BusinessAcceptsCreditCards: True', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsDelivery: True']","['Restaurants', 'Pizza']",Pittsburgh,18,Sal's New York Pizzeria,-79.9844739,PA,2.5,40.4286949,15203,business
1354,,eGLnLiKt58jHNjGVw149Nw,,0,3575 W Tropicana Ave,"['HasTV: True', 'RestaurantsReservations: False', 'RestaurantsTableService: False']","['Mexican', 'Restaurants']",Las Vegas,9,Tacos Mexico,-115.187333,NV,2.5,36.100396,89118,business
